file|name|package|version|size_mb|confidence
Steel Revolt v1.9 (1).ipa|Steel Revolt|com.zeptolab.steel-revolt|1.9|127.82|4
Steel Revolt v1.7 (1).apk|Steel Revolt|com.pantelisdev.steelrevolt|1.7|241.98|3
SteelRevolt v2.0.0 (1).ipa|SteelRevolt|com.zeptolab.steelrevoltremastered|2.0.0|72.19|4
Steel Revolt v1.8 (1).apk|Steel Revolt|com.pantelisdev.steelrevolt|1.8|247.78|3
Stronghold Defense v0.0.1 (1).ipa|Stronghold Defense|com.zeptolab.stronghold|0.0.1|31.06|4
Steel Revolt v1.9 (1).apk|Steel Revolt|com.pantelisdev.steelrevolt|1.9|250.38|3
Stronghold v0.0.1 (1).ipa|Stronghold|com.zeptolab.stronghold|0.0.1|30.81|4
SteelRevolt v2.0.0 (1).apk|SteelRevolt|com.zeptolab.steelrevoltremastered|2.0.0|102.31|3
Stronghold v0.0.1 (1).apk|Stronghold|com.zeptolab.stronghold|0.0.1|54.45|3
Stronghold Defense v0.0.1 (1).apk|Stronghold Defense|com.zeptolab.stronghold|0.0.1|54.28|3
Sushi Merge Wasabi Rush v0.1.0 (1).ipa|Sushi Merge Wasabi Rush|com.zeptolab.sushimerge|0.1.0|44.22|4
Swarmhold v1.4 (1).ipa|Swarmhold|com.zeptolab.shooter2d|1.4|47.33|4
Sushi Merge Wasabi Rush v0.1.0 (1).apk|Sushi Merge Wasabi Rush|com.zeptolab.sushimerge|0.1.0|85.79|3
SweetHarvest v1.0 (1).apk|SweetHarvest|com.zeptolab.sweetharvest|1.0|46.47|3
Tile Tint v0.1.0 (1).ipa|Tile Tint|com.zeptolab.ornament|0.1.0|57.0|4
They are almost billion v0.0.1 (1).apk|They are almost billion|com.zeptolab.billions|0.0.1|57.75|3
Swarmhold v1.4 (1).apk|Swarmhold|com.pantelisdev.swarmhold|1.4|69.29|3
Tile Tint v0.1.0 (1).apk|Tile Tint|com.colorful.ornament|0.1.0|99.17|3
Tiny Hunters v3.11.0 (1).ipa|Tiny Hunters|com.zeptolab.hunters|3.11.0|128.62|4
Tiny Hunters v3.11.0 (1).apk|Tiny Hunters|com.pantelisdev.hunters|3.11.0|167.47|3
Turn To Orange v1.0.0 (1).ipa|Turn To Orange|com.zeptolab.turntoorange|1.0.0|63.08|4
Volcano Pop v0.1.0 (1).ipa|Volcano Pop|com.zeptolab.volcanopop|0.1.0|21.19|4
Westward Rancher v0.0.1 (1).ipa|Westward Rancher|com.zeptolab.wr|0.0.1|37.74|4
Wicked Woods v1.0 (1).ipa|Wicked Woods|com.zeptolab.ww|1.0|13.01|4
Turn To Orange v1.0.0 (1).apk|Turn To Orange|com.zeptolab.turntoorange|1.0.0|120.29|3
Volcano Pop v0.1.0 (1).apk|Volcano Pop|com.zeptolab.volcanopop|0.1.0|40.73|3
Wobble Towers v0.1.0 (1).ipa|Wobble Towers|com.zeptolab.wobbletowers|0.1.0|42.17|4
World of Tower Defence v1.0.0 (4).ipa|World of Tower Defence|com.zeptolab.world-of-tower-defence|1.0.0|30.78|4
World of Tower Defence v1.0.0 (5).ipa|World of Tower Defence|com.zeptolab.world-of-tower-defence|1.0.0|30.78|4
Westward Rancher v0.0.1 (1).apk|Westward Rancher|com.zeptolab.wr|0.0.1|68.62|3
World of Tower Defence v1.0.0 (6).ipa|World of Tower Defence|com.zeptolab.world-of-tower-defence|1.0.0|30.78|4
World of Tower Defence v1.0.0 (7).ipa|World of Tower Defence|com.zeptolab.world-of-tower-defence|1.0.0|50.82|4
Wobble Towers v0.1.0 (1).apk|Wobble Towers|com.zeptolab.wobbletowers|0.1.0|72.31|3
Zombillion Spin RT v0.0.1 (1).ipa|Zombillion Spin RT|com.zeptolab.billionsrealtime|0.0.1|33.01|4
World of Tower Defence v1.0.0 (2).apk|World of Tower Defence|com.zeptolab.worldoftowerdefence|1.0.0|101.29|3
World of Tower Defence v1.0.0 (3).apk|World of Tower Defence|com.zeptolab.worldoftowerdefence|1.0.0|42.49|3
Zombillion Spin v0.0.1 (1).ipa|Zombillion Spin|com.zeptolab.billions|0.0.1|32.91|4
Zombillion Spin v0.0.1 (2).apk|Zombillion Spin|com.zeptolab.billions|0.0.1|57.75|3
Zombillion Spin RT v0.0.1 (1).apk|Zombillion Spin RT|com.zeptolab.billionsrealtime|0.0.1|45.83|3
