file|name|version|package|confidence|size_mb|methods_used
Cut the Rope_ Origins RC v0.22.0.apk|Cut the Rope: Origins RC|0.22.0|com.zeptolab.ctrorigins|3|290.62|aapt, aapt_resources, manifest
Cut the Rope_ Origins RC v10.23.0.ipa|Cut the Rope: Origins RC|10.23.0|com.zeptolab.cuttheropehd1|4|183.46|main_plist, plutil
Cut the Rope_ Origins RC v10.24.0.ipa|Cut the Rope: Origins RC|10.24.0|com.zeptolab.cuttheropehd1|4|185.63|main_plist, plutil
Cut the Rope_ Origins RC v10.23.0 (1).ipa|Cut the Rope: Origins RC|10.23.0|com.zeptolab.cuttheropehd1|4|183.45|main_plist, plutil
Cut the Rope_ Origins RC v10.25.0.ipa|Cut the Rope: Origins RC|10.25.0|com.zeptolab.cuttheropehd1|4|193.37|main_plist, plutil
Cut the Rope_ Origins RC v0.9.0.apk|Cut the Rope: Origins RC|0.9.0|com.zeptolab.ctrorigins|3|175.35|aapt, aapt_resources, manifest
Cut the Rope_ Origins RC v10.26.0.ipa|Cut the Rope: Origins RC|10.26.0|com.zeptolab.cuttheropehd1|4|201.3|main_plist, plutil
Cut the Rope_ Origins RC v10.9.0.ipa|Cut the Rope: Origins RC|10.9.0|com.zeptolab.cuttheropehd1|4|176.44|main_plist, plutil
Dice War TD v0.1.0.ipa|Dice War TD|0.1.0|com.zeptolab.rollthedice|4|29.68|main_plist, plutil, alt_plist_2, alt_plist_3
draw-the-rope v1.0.0 (1).ipa|draw-the-rope|1.0.0|com.zeptolab.drawtherope|4|21.54|main_plist, plutil
draw-the-rope v1.0.0.ipa|draw-the-rope|1.0.0|com.zeptolab.drawtherope|4|21.54|main_plist, plutil
Dice War TD v0.1.0.apk|Dice War TD|0.1.0|com.zeptolab.rollthedice|3|57.1|aapt, aapt_resources, manifest
DreamSchool v1.0.0.ipa|DreamSchool|1.0.0|com.zeptolab.zebtoblox|4|52.49|main_plist, plutil, alt_plist_2
Emoji Shooter v1.0 (1).ipa|Emoji Shooter|1.0|com.zeptolab.emojishooter|4|38.42|main_plist, plutil, alt_plist_2
Cut the Rope_ Origins v0.18.0.apk|Cut the Rope: Origins|0.18.0|com.zeptolab.ctrorigins|3|257.69|aapt, aapt_resources, manifest
Cut the Rope_ Origins v0.17.0.apk|Cut the Rope: Origins|0.17.0|com.zeptolab.ctrorigins|3|260.41|aapt, aapt_resources, manifest
Emoji Shooter v1.0.ipa|Emoji Shooter|1.0|com.zeptolab.emojishooter|4|38.42|main_plist, plutil, alt_plist_2
Esher TD v0.0.1.ipa|Esher TD|0.0.1|com.zeptolab.escher|4|26.47|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Fantasy Miner v1.0.0 (1).ipa|Fantasy Miner|1.0.0|com.zeptolab.fantasy-miner|4|24.55|main_plist, plutil, alt_plist_2
Emoji Shooter v1.0.apk|Emoji Shooter|1.0|com.pantelisdev.emojishooter|3|59.82|aapt, aapt_resources, manifest
Esher TD v0.0.1.apk|Esher TD|0.0.1|com.zeptolab.escher|3|50.69|aapt, aapt_resources, manifest
Fantasy Miner v1.0.0.ipa|Fantasy Miner|1.0.0|com.zeptolab.fantasy-miner|4|24.55|main_plist, plutil, alt_plist_2
draw-the-rope v1.0.apk|draw-the-rope|1.0|com.zeptolab.drawtherope|3|21.26|aapt, aapt_resources, manifest
Furniture Out v1.0.0.ipa|Furniture Out|1.0.0|com.zeptolab.furnitureout|4|37.58|main_plist, plutil, alt_plist_2
Fantasy Miner v1.0.0.apk|Fantasy Miner|1.0.0|com.zeptolab.fantasyminer|3|38.36|aapt, aapt_resources, manifest
Furniture Out v1.0.0.apk|Furniture Out|1.0.0|com.zeptolab.furnitureout|3|54.28|aapt, aapt_resources, manifest
HappyCouchBurglars v1.0.0 (1).ipa|HappyCouchBurglars|1.0.0|com.zeptolab.happycouchburglars|4|72.9|main_plist, plutil
HappyCouchBurglars v1.0.0 (2).ipa|HappyCouchBurglars|1.0.0|com.zeptolab.happycouchburglars|4|72.9|main_plist, plutil
